realm,school,mindfulness,class,reading_skill,pupil_id
rohan,König-Theoden-Gesamtschule,TRUE,a,36.3,1
rohan,König-Theoden-Gesamtschule,TRUE,a,22.6,2
rohan,König-Theoden-Gesamtschule,TRUE,a,33.7,3
rohan,König-Theoden-Gesamtschule,TRUE,a,34,4
rohan,König-Theoden-Gesamtschule,TRUE,a,29.7,5
rohan,König-Theoden-Gesamtschule,TRUE,a,29.8,6
rohan,König-Theoden-Gesamtschule,TRUE,a,29.7,7
rohan,König-Theoden-Gesamtschule,TRUE,a,28.4,8
rohan,König-Theoden-Gesamtschule,TRUE,a,30.1,9
rohan,König-Theoden-Gesamtschule,TRUE,a,28,10
rohan,König-Theoden-Gesamtschule,TRUE,a,28.9,11
rohan,König-Theoden-Gesamtschule,TRUE,a,32.3,12
rohan,König-Theoden-Gesamtschule,TRUE,a,35.8,13
rohan,König-Theoden-Gesamtschule,TRUE,a,31.6,14
rohan,König-Theoden-Gesamtschule,TRUE,a,30,15
rohan,König-Theoden-Gesamtschule,TRUE,a,28.4,16
rohan,König-Theoden-Gesamtschule,TRUE,a,28.7,17
rohan,König-Theoden-Gesamtschule,TRUE,a,41.7,18
rohan,König-Theoden-Gesamtschule,TRUE,a,32.5,19
rohan,König-Theoden-Gesamtschule,TRUE,a,30,20
rohan,König-Theoden-Gesamtschule,TRUE,a,30.2,21
rohan,König-Theoden-Gesamtschule,TRUE,b,37.2,22
rohan,König-Theoden-Gesamtschule,TRUE,b,31.2,23
rohan,König-Theoden-Gesamtschule,TRUE,b,34.6,24
rohan,König-Theoden-Gesamtschule,TRUE,b,28.8,25
rohan,König-Theoden-Gesamtschule,TRUE,b,32.4,26
rohan,König-Theoden-Gesamtschule,TRUE,b,33.3,27
rohan,König-Theoden-Gesamtschule,TRUE,b,22.1,28
rohan,König-Theoden-Gesamtschule,TRUE,b,33,29
rohan,König-Theoden-Gesamtschule,TRUE,b,36.1,30
rohan,König-Theoden-Gesamtschule,TRUE,b,38.6,31
rohan,König-Theoden-Gesamtschule,TRUE,b,29.3,32
rohan,König-Theoden-Gesamtschule,TRUE,b,35.3,33
rohan,König-Theoden-Gesamtschule,TRUE,b,32.3,34
rohan,König-Theoden-Gesamtschule,TRUE,b,31.4,35
rohan,König-Theoden-Gesamtschule,TRUE,b,31.5,36
rohan,König-Theoden-Gesamtschule,TRUE,b,33,37
rohan,König-Theoden-Gesamtschule,TRUE,b,33,38
rohan,König-Theoden-Gesamtschule,TRUE,b,30.3,39
rohan,König-Theoden-Gesamtschule,TRUE,b,26.9,40
rohan,König-Theoden-Gesamtschule,TRUE,c,37.6,41
rohan,König-Theoden-Gesamtschule,TRUE,c,25.9,42
rohan,König-Theoden-Gesamtschule,TRUE,c,35.8,43
rohan,König-Theoden-Gesamtschule,TRUE,c,32.7,44
rohan,König-Theoden-Gesamtschule,TRUE,c,25.7,45
rohan,König-Theoden-Gesamtschule,TRUE,c,36.2,46
rohan,König-Theoden-Gesamtschule,TRUE,c,34,47
rohan,König-Theoden-Gesamtschule,TRUE,c,28.6,48
rohan,König-Theoden-Gesamtschule,TRUE,c,31.8,49
rohan,König-Theoden-Gesamtschule,TRUE,c,24.1,50
rohan,König-Theoden-Gesamtschule,TRUE,c,34.4,51
rohan,König-Theoden-Gesamtschule,TRUE,c,19.5,52
rohan,König-Theoden-Gesamtschule,TRUE,c,25.7,53
rohan,König-Theoden-Gesamtschule,TRUE,c,30.8,54
rohan,König-Theoden-Gesamtschule,TRUE,c,30,55
rohan,König-Theoden-Gesamtschule,TRUE,c,41.9,56
rohan,König-Theoden-Gesamtschule,TRUE,c,30.4,57
rohan,König-Theoden-Gesamtschule,TRUE,c,30.7,58
rohan,König-Theoden-Gesamtschule,TRUE,c,35.9,59
rohan,König-Theoden-Gesamtschule,TRUE,c,32.9,60
rohan,König-Theoden-Gesamtschule,TRUE,c,27.2,61
rohan,König-Theoden-Gesamtschule,TRUE,c,30,62
rohan,König-Theoden-Gesamtschule,TRUE,c,25.6,63
rohan,König-Theoden-Gesamtschule,FALSE,d,35.6,64
rohan,König-Theoden-Gesamtschule,FALSE,d,22.3,65
rohan,König-Theoden-Gesamtschule,FALSE,d,30.4,66
rohan,König-Theoden-Gesamtschule,FALSE,d,25.9,67
rohan,König-Theoden-Gesamtschule,FALSE,d,31.4,68
rohan,König-Theoden-Gesamtschule,FALSE,d,31.4,69
rohan,König-Theoden-Gesamtschule,FALSE,d,25.8,70
rohan,König-Theoden-Gesamtschule,FALSE,d,23.1,71
rohan,König-Theoden-Gesamtschule,FALSE,d,25.3,72
rohan,König-Theoden-Gesamtschule,FALSE,d,24,73
rohan,König-Theoden-Gesamtschule,FALSE,d,29.200000000000003,74
