sim,true_beta,n,model,p,n_f,true_beta_f
1,0,25,model1,0.11955767016961141,25,beta = 0
1,0,25,model2,0.6215637724232802,25,beta = 0
1,0,25,model3,0.5292659569949183,25,beta = 0
1,0,25,model4,0.22815498890319927,25,beta = 0
2,0,25,model1,0.7120665121966785,25,beta = 0
2,0,25,model2,0.8323889497079946,25,beta = 0
2,0,25,model3,0.4317075052565301,25,beta = 0
2,0,25,model4,0.036201683723189375,25,beta = 0
3,0,25,model1,0.4749526903366825,25,beta = 0
3,0,25,model2,0.30043633713070483,25,beta = 0
3,0,25,model3,0.880858884758009,25,beta = 0
3,0,25,model4,0.12829540887705573,25,beta = 0
4,0,25,model1,0.8846972519170799,25,beta = 0
4,0,25,model2,0.7124201778678352,25,beta = 0
4,0,25,model3,0.308777470012536,25,beta = 0
4,0,25,model4,0.08434748561865084,25,beta = 0
5,0,25,model1,0.7309262093753619,25,beta = 0
5,0,25,model2,0.4119478265922153,25,beta = 0
5,0,25,model3,0.6047453805589713,25,beta = 0
5,0,25,model4,0.3415069339234923,25,beta = 0
6,0,25,model1,0.5670443360245557,25,beta = 0
6,0,25,model2,0.5882344429694157,25,beta = 0
6,0,25,model3,0.9023321094236096,25,beta = 0
6,0,25,model4,0.5241087680120469,25,beta = 0
7,0,25,model1,0.5004541141003257,25,beta = 0
7,0,25,model2,0.7186527995760201,25,beta = 0
7,0,25,model3,0.5889688240982248,25,beta = 0
7,0,25,model4,0.6666172106945119,25,beta = 0
8,0,25,model1,0.4729972338470081,25,beta = 0
8,0,25,model2,0.5299783083873983,25,beta = 0
8,0,25,model3,0.05025205760095214,25,beta = 0
8,0,25,model4,0.27339276144968283,25,beta = 0
9,0,25,model1,0.41468628905468863,25,beta = 0
9,0,25,model2,0.28574512936550484,25,beta = 0
9,0,25,model3,0.7124725317733296,25,beta = 0
9,0,25,model4,0.8522511136330804,25,beta = 0
10,0,25,model1,0.5409734868105088,25,beta = 0
10,0,25,model2,0.8786360149690369,25,beta = 0
10,0,25,model3,0.5420830578291755,25,beta = 0
10,0,25,model4,0.42311427295054005,25,beta = 0
11,0,25,model1,0.09804584491011521,25,beta = 0
11,0,25,model2,0.6625148915463304,25,beta = 0
11,0,25,model3,0.7704930394422765,25,beta = 0
11,0,25,model4,0.39897278727136787,25,beta = 0
12,0,25,model1,0.036644652941573166,25,beta = 0
12,0,25,model2,0.9560679958609284,25,beta = 0
12,0,25,model3,0.19348779219393752,25,beta = 0
12,0,25,model4,0.6438282096851313,25,beta = 0
13,0,25,model1,0.35181213338289885,25,beta = 0
13,0,25,model2,0.19845268005865807,25,beta = 0
13,0,25,model3,0.6965144074584702,25,beta = 0
13,0,25,model4,0.7385380584758117,25,beta = 0
14,0,25,model1,0.621714866534109,25,beta = 0
14,0,25,model2,0.30569386557849426,25,beta = 0
14,0,25,model3,0.44683729016744655,25,beta = 0
14,0,25,model4,0.25906606375371516,25,beta = 0
15,0,25,model1,0.863991706847024,25,beta = 0
15,0,25,model2,0.6121637526992796,25,beta = 0
15,0,25,model3,0.9360869019085889,25,beta = 0
15,0,25,model4,0.38764000462321724,25,beta = 0
16,0,25,model1,0.33169725392839133,25,beta = 0
16,0,25,model2,0.9431416158286989,25,beta = 0
16,0,25,model3,0.6893676671692126,25,beta = 0
16,0,25,model4,0.8188666720135023,25,beta = 0
17,0,25,model1,0.6771142744052276,25,beta = 0
17,0,25,model2,0.7506834858964997,25,beta = 0
17,0,25,model3,0.5800695918252174,25,beta = 0
17,0,25,model4,0.3275486917703567,25,beta = 0
18,0,25,model1,0.9603483629713446,25,beta = 0
18,0,25,model2,0.32653427443760996,25,beta = 0
18,0,25,model3,0.7735644663891883,25,beta = 0
